State,State,Total citizen,Total  ,Percent registered (18+),moe_reg_total,Total  ,Percent voted (18+),moe_vot_total
NEW HAMPSHIRE,.45 to 64,325,260,77.9,3,249,74.7,3.2
NEW HAMPSHIRE,.65 to 74,83,74,(B),(B),70,(B),(B)
NEW HAMPSHIRE,.75+,81,66,(B),(B),62,(B),(B)
NEW JERSEY,.18 to 24,643,388,51.6,4.9,324,43.1,4.9
NEW JERSEY,.25 to 44,"1,939","1,374",57.1,2.7,"1,239",51.5,2.8
NEW JERSEY,.45 to 64,"2,023","1,546",69.4,2.6,"1,440",64.6,2.7
NEW JERSEY,.65 to 74,547,439,77.1,4.8,398,69.8,5.2
NEW JERSEY,.75+,439,338,73.9,5.6,293,63.9,6.1
NEW MEXICO,.Total,"1,301",936,68.1,2.4,837,60.9,2.5
NEW MEXICO,.18 to 24,177,93,49.5,7,74,39.7,6.8
NEW MEXICO,.25 to 44,442,319,64.9,4.1,284,57.8,4.3
NEW MEXICO,.45 to 64,471,352,72.9,3.9,323,66.8,4.1
NEW MEXICO,.65 to 74,108,92,84.7,6.6,83,76.4,7.8
NEW MEXICO,.75+,103,80,76.6,7.9,73,69.7,8.6
NEW YORK,.Total,"12,779","8,624",59.5,1.2,"7,698",53.1,1.2
NEW YORK,.18 to 24,"1,682",909,45.9,3.2,771,39,3.1
NEW YORK,.45 to 64,"4,317","3,077",65.3,2,"2,855",60.6,2
NEW YORK,.65 to 74,"1,220",891,69.6,3.6,806,62.9,3.8
NEW YORK,.75+,"1,091",828,71.6,3.7,697,60.4,4.1
NORTH CAROLINA,.Total,"5,923","4,292",68.7,1.7,"3,639",58.2,1.8
NORTH CAROLINA,.18 to 24,729,419,51.9,5.2,310,38.4,5
NORTH CAROLINA,.25 to 44,"2,233","1,589",65.4,2.8,"1,327",54.6,3
NORTH CAROLINA,.45 to 64,"1,901","1,439",74.3,2.9,"1,261",65.1,3.2
NORTH CAROLINA,.65 to 74,606,491,80.5,4.7,446,73.1,5.3
NORTH CAROLINA,.75+,454,353,76.3,5.8,295,63.6,6.6
NORTH DAKOTA,.Total,462,412,88.5,1.5,330,70.8,2.1
NORTH DAKOTA,.18 to 24,75,62,(B),(B),39,(B),(B)
NORTH DAKOTA,.25 to 44,143,129,89.6,2.6,100,69.3,3.9
NORTH DAKOTA,.45 to 64,163,147,89.7,2.4,126,77,3.3
NORTH DAKOTA,.65 to 74,33,30,(B),(B),27,(B),(B)
NORTH DAKOTA,.75+,47,44,(B),(B),38,(B),(B)
OHIO,.Total,"8,305","6,003",70.9,1.5,"5,485",64.8,1.6
OHIO,.18 to 24,"1,082",686,62.4,4.4,599,54.5,4.5
OHIO,.25 to 44,"2,935","2,062",67.6,2.5,"1,861",61,2.6
OHIO,.45 to 64,"2,824","2,161",76.1,2.4,"2,018",71.1,2.6
OHIO,.65 to 74,777,609,77.3,4.5,575,73,4.7
OHIO,.75+,686,485,70.3,5.2,432,62.6,5.5
OKLAHOMA,.Total,"2,476","1,781",68.4,2.2,"1,541",59.2,2.3
OKLAHOMA,.18 to 24,344,173,46.1,6.2,149,39.5,6
OKLAHOMA,.25 to 44,853,554,59.4,3.9,439,47.1,3.9
OKLAHOMA,.45 to 64,875,703,79.9,3.2,650,74,3.5
OKLAHOMA,.65 to 74,200,177,86.5,5.7,158,77.2,7
